"Date","FieldNotes","FlowAdjustment"
"Date Assessed Wednesday, 2018-04-25","Streamflow is 145.3 MGD.  Temperature was 32.8 deg C. Recorded by XVV.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2019-06-25","flow was 106.9 cfs. Wadable conditions. Temperature was 26.5 deg C. Recorded by AEL.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2021-05-12","flow was 0.2 gpm. Wadable conditions. Temperature was 22 deg C. Recorded by LLO.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2020-05-03","Streamflow is 0.2 gpm.  Temperature was 29.5 deg C. Recorded by MQC.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Tuesday, 2021-02-16","Streamflow is 0.2 gpm.  Temperature was 29.4 deg C. Recorded by VAT.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2017-01-16","Streamflow is 161.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 32.2 deg C. Recorded by EVV.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2020-06-19","Stream flow at 140.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.6 deg C. Recorded by SDI.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2016-10-08","Streamflow is 140.8 MGD.  Temperature was 33.9 deg C. Recorded by RAY.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2019-04-27","Stream flow at 180 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25 deg C. Recorded by KOC.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2017-11-12","Streamflow is 152.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.1 deg C. Recorded by FAX.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2021-11-27","Streamflow is 155.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.7 deg C. Recorded by COF.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2020-09-03","Stream flow at 0.3 gpm.  Temperature was 25.9 deg C. Recorded by URF.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2018-01-05","Stream flow at 0.2 gpm.  Temperature was 25.8 deg C. Recorded by SEX.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Thursday, 2021-04-22","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 31.6 deg C. Recorded by TXN.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2018-12-07","Streamflow is 193.3 MGD. Wadable conditions. Temperature was 30.3 deg C. Recorded by GPA.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2020-07-09","Stream flow at 165.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28.5 deg C. Recorded by QVR.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2021-10-17","Stream flow at 104.1 cfs.  Temperature was 24.4 deg C. Recorded by OHD.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2019-11-02","Stream flow at 132.4 MGD.  Temperature was 25.9 deg C. Recorded by DYQ.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2017-11-02","Stream flow at 98.5 cfs.  Temperature was 33 deg C. Recorded by DBH.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2021-11-07","Streamflow is 154.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.6 deg C. Recorded by AFU.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2022-03-15","Stream flow at 137.9 MGD.  Temperature was 32.5 deg C. Recorded by XSL.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2017-06-12","Streamflow is 99.2 cfs. Wadable conditions. Temperature was 29.5 deg C. Recorded by LTB.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2017-03-27","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 31.5 deg C. Recorded by OYU.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2020-02-28","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.8 deg C. Recorded by RKH.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2018-09-01","Streamflow is 0.2 gpm.  Temperature was 28.9 deg C. Recorded by MUI.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2020-07-07","flow was 103.7 cfs.  Temperature was 28.1 deg C. Recorded by MLW.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2021-03-13","flow was 86.5 cfs. Wadable conditions. Temperature was 26.9 deg C. Recorded by FVH.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2016-07-25","Stream flow at 0.2 gpm.  Temperature was 29.3 deg C. Recorded by SLR.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2020-05-12","flow was 103.3 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.3 deg C. Recorded by HXX.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2020-08-09","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 27.8 deg C. Recorded by ISE.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2019-08-14","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.9 deg C. Recorded by KPE.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2018-11-28","Stream flow at 143.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.7 deg C. Recorded by JVB.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Saturday, 2021-06-26","flow was 128.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.1 deg C. Recorded by MAJ.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2017-06-23","Streamflow is 174.4 MGD.  Temperature was 28.6 deg C. Recorded by SMC.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2021-10-23","Streamflow is 104.1 cfs. Wadable conditions. Temperature was 27.3 deg C. Recorded by BDY.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2016-07-03","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.9 deg C. Recorded by YOT.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Friday, 2020-01-24","Streamflow is 142.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.2 deg C. Recorded by JYR.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2018-09-23","flow was 153.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27.4 deg C. Recorded by QFK.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2020-03-10","Stream flow at 165.2 MGD.  Temperature was 27 deg C. Recorded by JTF.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2021-07-21","Stream flow at 126.9 MGD.  Temperature was 28.1 deg C. Recorded by LYR.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2018-04-23","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 28.4 deg C. Recorded by OLH.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2017-06-16","flow was 107 cfs. Wadable conditions. Temperature was 27.3 deg C. Recorded by CGW.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2018-07-26","Stream flow at 118.2 cfs.  Temperature was 24.9 deg C. Recorded by TGV.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2020-08-05","Streamflow is 106.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 24 deg C. Recorded by NEV.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2016-11-27","flow was 97.6 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.3 deg C. Recorded by BDL.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2019-02-20","Stream flow at 87.3 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.7 deg C. Recorded by BOY.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2020-11-12","flow was 150.5 MGD.  Temperature was 27.9 deg C. Recorded by TRH.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2022-03-03","Stream flow at 105.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 23 deg C. Recorded by MWI.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2019-08-28","Stream flow at 110.8 cfs. Wadable conditions. Temperature was 26.1 deg C. Recorded by AFU.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2019-08-04","flow was 91.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 31.1 deg C. Recorded by HEW.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2018-11-04","Stream flow at 146.4 MGD. Wadable conditions. Temperature was 23.9 deg C. Recorded by LST.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Saturday, 2019-04-20","flow was 189.8 MGD.  Temperature was 29.1 deg C. Recorded by OJB.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2018-06-14","Stream flow at 101.3 cfs.  Temperature was 26.9 deg C. Recorded by UDB.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2022-02-24","flow was 88.5 cfs.  Temperature was 23.4 deg C. Recorded by QHK.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2022-02-03","Streamflow is 102.6 cfs. Wadable conditions. Temperature was 27.9 deg C. Recorded by TFC.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2017-03-17","flow was 162.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.1 deg C. Recorded by JMW.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Thursday, 2021-06-03","Stream flow at 0.2 gpm.  Temperature was 29.4 deg C. Recorded by GJL.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2019-01-25","flow was 0.2 gpm. Wadable conditions. Temperature was 30.1 deg C. Recorded by FXM.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2016-03-24","Streamflow is 0.2 gpm.  Temperature was 36.1 deg C. Recorded by GGM.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Wednesday, 2021-11-17","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 24.6 deg C. Recorded by SCU.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2017-09-14","Stream flow at 151.6 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.7 deg C. Recorded by OYE.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2021-09-05","flow was 117.3 cfs. Wadable conditions. Temperature was 27.4 deg C. Recorded by EKA.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2018-02-05","flow was 0.2 gpm. Wadable conditions. Temperature was 33.3 deg C. Recorded by MBP.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2021-08-02","Stream flow at 176.9 MGD.  Temperature was 24.7 deg C. Recorded by CRP.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2018-04-17","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.4 deg C. Recorded by TNV.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Thursday, 2016-05-12","Stream flow at 111.9 cfs.  Temperature was 25.6 deg C. Recorded by QGM.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2016-05-12","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 31 deg C. Recorded by IKF.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2018-07-24","flow was 136.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.7 deg C. Recorded by QGG.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2017-02-06","flow was 179.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28.2 deg C. Recorded by RCF.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2016-06-22","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 25.5 deg C. Recorded by APE.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2018-07-25","flow was 0.2 gpm.  Temperature was 31.3 deg C. Recorded by HNK.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2016-12-16","flow was 81.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 22.4 deg C. Recorded by JHM.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2016-09-23","flow was 0.2 gpm. Wadable conditions. Temperature was 27.5 deg C. Recorded by RSK.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Monday, 2020-06-01","Stream flow at 0.2 gpm.  Temperature was 25.6 deg C. Recorded by LVO.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2020-04-24","Stream flow at 151.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28.7 deg C. Recorded by MXA.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2020-03-19","Streamflow is 115.4 cfs.  Temperature was 27.1 deg C. Recorded by CYP.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2018-10-30","flow was 170.8 MGD. Wadable conditions. Temperature was 20.3 deg C. Recorded by GXF.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2021-11-19","flow was 129.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.1 deg C. Recorded by PWS.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Friday, 2020-02-07","Streamflow is 160.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 33.3 deg C. Recorded by RGK.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2021-05-01","flow was 99.5 cfs. Wadable conditions. Temperature was 26.7 deg C. Recorded by TRK.","Flow was scaled by constant factor of 0.5 to account for science"
